dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003923,13.731999,0.003704,0.148148,2.962963,59.259259,6.282703
0.050000,0.016132,13.731984,0.015913,0.244179,1.920619,-20.846879,6.281204
0.050000,0.036480,13.731918,0.036260,0.406956,3.255540,26.698424,6.278704
0.050000,0.064965,13.731741,0.064746,0.569718,3.255230,-0.006210,6.275207
0.050000,0.101586,13.731366,0.101369,0.732453,3.254717,-0.010245,6.270714
0.050000,0.146338,13.730685,0.146127,0.895150,3.253925,-0.015843,6.265226
0.050000,0.199216,13.729564,0.199016,1.057787,3.252753,-0.023442,6.258749
0.050000,0.260209,13.727846,0.260033,1.220341,3.251078,-0.033496,6.251288
0.050000,0.329302,13.725349,0.329172,1.382779,3.248757,-0.046427,6.242850
0.050000,0.406477,13.721871,0.406425,1.545060,3.245624,-0.062662,6.233447
0.050000,0.491705,13.717186,0.491782,1.707135,3.241496,-0.082561,6.223093
0.050000,0.584951,13.711047,0.585229,1.868944,3.236173,-0.106451,6.211805
0.050000,0.686167,13.703188,0.686750,2.030416,3.229445,-0.134569,6.199608
0.050000,0.795296,13.693326,0.796323,2.191471,3.221093,-0.167042,6.186528
0.050000,0.912265,13.681161,0.913924,2.352016,3.210900,-0.203864,6.172601
0.050000,1.036990,13.666380,1.039521,2.511949,3.198656,-0.244864,6.157869
0.050000,1.169367,13.648659,1.173079,2.671157,3.184173,-0.289669,6.142382
0.050000,1.309277,13.627668,1.314555,2.829522,3.167288,-0.337699,6.126196
0.050000,1.456584,13.603076,1.463901,2.986916,3.147880,-0.388153,6.109378
0.050000,1.611134,13.574549,1.621062,3.143210,3.125880,-0.440008,6.092004
0.050000,1.772756,13.541764,1.785975,3.298273,3.101277,-0.492062,6.074157
0.050000,1.941263,13.504404,1.958574,3.451980,3.074129,-0.542966,6.055930
0.050000,2.116455,13.462171,2.138785,3.604208,3.044563,-0.591307,6.037424
0.050000,2.298119,13.414786,2.326527,3.754847,3.012779,-0.635684,6.018748
0.050000,2.486035,13.361996,2.521717,3.903799,2.979038,-0.674819,6.000017
0.050000,2.679977,13.303579,2.724266,4.050982,2.943655,-0.707652,5.981351
0.050000,2.879719,13.239344,2.934083,4.196331,2.906983,-0.733442,5.962877
0.050000,3.081323,13.170446,3.147134,4.261034,1.294060,-32.258467,5.945043
0.050000,3.281005,13.098317,3.359444,4.246199,-0.296702,-31.815236,5.928222
0.050000,3.478784,13.023208,3.571005,4.231215,-0.299679,-0.059543,5.912426
0.050000,3.674692,12.945363,3.781813,4.216152,-0.301247,-0.031351,5.897659
0.050000,3.868774,12.865022,3.991866,4.201071,-0.301635,-0.007769,5.883922
0.050000,4.061085,12.782419,4.201167,4.186017,-0.301066,0.011376,5.871214
