dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003218,12.267999,0.003704,0.148148,2.962963,59.259259,6.282703
0.050000,0.013231,12.267987,0.013717,0.200265,1.042343,-38.412397,6.281204
0.050000,0.029920,12.267933,0.030406,0.333784,2.670383,32.560792,6.278704
0.050000,0.053285,12.267787,0.053772,0.467319,2.670689,0.006134,6.275207
0.050000,0.083328,12.267480,0.083816,0.600879,2.671197,0.010144,6.270714
0.050000,0.120047,12.266921,0.120540,0.734478,2.671982,0.015709,6.265226
0.050000,0.163444,12.266001,0.163947,0.868135,2.673146,0.023284,6.258749
0.050000,0.213518,12.264590,0.214041,1.001876,2.674812,0.033306,6.251288
0.050000,0.270268,12.262540,0.270827,1.135732,2.677123,0.046220,6.242850
0.050000,0.333691,12.259681,0.334314,1.269744,2.680244,0.062426,6.233447
0.050000,0.403783,12.255828,0.404512,1.403962,2.684359,0.082310,6.223093
0.050000,0.480539,12.250775,0.481435,1.538445,2.689669,0.106187,6.211805
0.050000,0.563951,12.244299,0.565098,1.673265,2.696384,0.134295,6.199608
0.050000,0.654009,12.236160,0.655523,1.808501,2.704722,0.166770,6.186528
0.050000,0.750700,12.226103,0.752735,1.944246,2.714902,0.203604,6.172601
0.050000,0.854007,12.213860,0.856765,2.080603,2.727133,0.244622,6.157869
0.050000,0.963911,12.199147,0.967650,2.217683,2.741606,0.289460,6.142382
0.050000,1.080388,12.181672,1.085430,2.355607,2.758483,0.337537,6.126196
0.050000,1.203410,12.161133,1.210155,2.494501,2.777886,0.388048,6.109378
0.050000,1.332947,12.137223,1.341880,2.634496,2.799885,0.439978,6.092004
0.050000,1.468962,12.109631,1.480666,2.775720,2.824490,0.492115,6.074157
0.050000,1.611418,12.078046,1.626581,2.918302,2.851646,0.543115,6.055930
0.050000,1.760271,12.042160,1.779699,3.062364,2.881224,0.591556,6.037424
0.050000,1.915479,12.001675,1.940100,3.208015,2.913026,0.636037,6.018748
0.050000,2.076994,11.956300,2.107867,3.355354,2.946789,0.675274,6.000017
0.050000,2.244771,11.905762,2.283091,3.504464,2.982199,0.708201,5.981351
0.050000,2.418765,11.849805,2.465861,3.655409,3.018903,0.734073,5.962877
0.050000,2.595662,11.789349,2.652804,3.738860,1.669016,-26.997743,5.945043
0.050000,2.772184,11.725584,2.840489,3.753707,0.296936,-27.441596,5.928222
